Altium Designer Pick and Place Locations
E:\PCB Design\A3D - RUMBA\RUMBA-Plus\Source\Outputs\V3D_RUMBA_v1_6A_PickPlace.csv

========================================================================================================================
File Design Information:

Date:       15/04/21
Time:       22:54
Revision:   ffb28b68ad8af3daa2151da9f50a61534ccc96fe
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"HE1","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","53.6258","6.1290","180","Screw Terminal 3.5mm 2-Way"
"HE0","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","45.2438","6.2052","180","Screw Terminal 3.5mm 2-Way"
"D4","Diode Schottky 2A 20V Dual Common Cathode","TopLayer","SOT1061","41.0000","46.6000","360","Default Diode"
"F3","PTC Resettable Fuse","TopLayer","PTC_Fuse1608-0603","13.2000","6.8000","270","Fuse - 15V 200mA Trip PTC SMD 0603"
"X_MS","SW DIP-3","TopLayer","dipsw_SO6","48.7060","50.3940","90","DIP Switch"
"E0_MS","SW DIP-3","TopLayer","dipsw_SO6","94.4180","50.3940","90","DIP Switch"
"E1_MS","SW DIP-3","TopLayer","dipsw_SO6","109.6580","50.3940","90","DIP Switch"
"E2_MS","SW DIP-3","TopLayer","dipsw_SO6","124.9980","50.3936","90","DIP Switch"
"Y_MS","SW DIP-3","TopLayer","dipsw_SO6","63.9460","50.3940","90","DIP Switch"
"Z_MS","SW DIP-3","TopLayer","dipsw_SO6","79.1860","50.3940","90","DIP Switch"
"U5","USBLC6-4SC6","TopLayer","SOT23-6N","9.2125","14.1000","0","ESD Protection IC"
"USB_AUX","Header 5","TopLayer","HDR1X5-HEADER","15.8000","12.0600","90","Header, 5-Pin"
"R58","Res-0603-1K","TopLayer","RES_1608-0603","38.8000","46.4000","90","Resistor"
"R20","Res-0603-1K","TopLayer","RES_1608-0603","113.7000","30.6000","90","Resistor"
"LD9","GREEN","TopLayer","LED_1608-0603","37.3000","46.4000","270","Hyper-Bright LED"
"LD8","GREEN","TopLayer","LED_1608-0603","112.1882","30.6625","270","Hyper-Bright LED"
"ISP1","Header 3X2","TopLayer","HDR2X3","39.8406","52.7062","270","Header, 3-Pin, Dual row"
"D14","100V; 1.5A","TopLayer","DO-214AC","61.5000","13.0000","360","Diode SMD 100V 1.5A SMA"
"D13","100V; 1.5A","TopLayer","DO-214AC","125.2500","19.2540","360","Diode SMD 100V 1.5A SMA"
"D12","100V; 1.5A","TopLayer","DO-214AC","45.5000","13.0000","360","Diode SMD 100V 1.5A SMA"
"D11","100V; 1.5A","TopLayer","DO-214AC","79.0000","11.5000","360","Diode SMD 100V 1.5A SMA"
"D10","100V; 1.5A","TopLayer","DO-214AC","70.2500","11.5000","360","Diode SMD 100V 1.5A SMA"
"D9","100V; 1.5A","TopLayer","DO-214AC","53.7500","13.0000","360","Diode SMD 100V 1.5A SMA"
"OS logo","Logo","TopLayer","OS_LOGO_TOP","-10.0000","-10.0000","360",""
"FAN1","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","78.8480","6.2052","180","Screw Terminal 3.5mm 2-Way"
"R55","Res-0603-1K","TopLayer","RES_1608-0603","79.2010","27.6428","90","Resistor"
"Q5","BUK9Y21-40E","TopLayer","LFPACK","78.9216","19.9334","180","Logic Level N MOSFET"
"LD7","GREEN","TopLayer","LED_1608-0603","80.7790","27.6430","270","Hyper-Bright LED"
"Z_MOT_A","Header 4","TopLayer","HDR1X4","81.7645","65.8952","180","Header, 4-Pin"
"Y_MOT_A","Header 4","TopLayer","HDR1X4","66.5400","65.8698","180","Header, 4-Pin"
"X_MOT_A","Header 4","TopLayer","HDR1X4","51.3156","65.8698","180","Header, 4-Pin"
"R54","Res-0603-4K7","TopLayer","RES_1608-0603","7.5264","26.9040","360","Resistor"
"R53","Res-0603-1K","TopLayer","RES_1608-0603","71.3523","27.6428","90","Resistor"
"R52","Res-0603-100K","TopLayer","RES_1608-0603","69.7014","27.6428","270","Resistor"
"R51","Res-0603-22R","TopLayer","RES_1608-0603","68.0504","27.6428","270","Resistor"
"R50","Res-0603-1K","TopLayer","RES_1608-0603","62.3858","27.6428","90","Resistor"
"LD6","GREEN","TopLayer","LED_1608-0603","72.9782","27.6430","270","Hyper-Bright LED"
"LD5","GREEN","TopLayer","LED_1608-0603","63.9895","27.6430","270","Hyper-Bright LED"
"FAN0","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","70.3390","6.1544","180","Screw Terminal 3.5mm 2-Way"
"HE2","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","62.0078","6.1544","180","Screw Terminal 3.5mm 2-Way"
"E2_MOT_A","Header 4","TopLayer","HDR1X4","127.4378","65.8190","180","Header, 4-Pin"
"E1_MOT_A","Header 4","TopLayer","HDR1X4","112.2134","65.8444","180","Header, 4-Pin"
"E0_MOT_A","Header 4","TopLayer","HDR1X4","96.9889","65.8698","180","Header, 4-Pin"
"C9","approved sub OK","TopLayer","Cap_1608-0603","7.5264","25.3960","360","Capacitor SMD Cer 1uF 10% 16V X7R 0603"
"R9","Res-0603-1M","TopLayer","RES_1608-0603","24.9974","6.0274","360","Resistor"
"R2","Res-0603-10K","TopLayer","RES_1608-0603","24.0500","23.9000","360","Resistor"
"PWR","Header 2","TopLayer","HDR1X2","39.3484","3.5128","90","Header, 2-Pin"
"5V","Header 2","TopLayer","HDR1X2","37.0624","21.6992","90","Header, 2-Pin"
"PS_ON","Header 2","TopLayer","HDR1X2","20.2608","65.9040","360","Header, 2-Pin"
"C29","approved sub OK","TopLayer","Cap_1608-0603","7.5264","37.2600","360","Capacitor SMD Cer 1uF 10% 16V X7R 0603"
"Y","Header, 8-Pin, Female","TopLayer","A4988BREAKOUT","66.1075","53.2862","270","Header, 8-Pin, Female"
"C1","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","101.4948","32.8237","180","Polarized Capacitor (Surface Mount)"
"C2","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","116.4412","25.4607","360","Polarized Capacitor (Surface Mount)"
"C3","approved sub OK","TopLayer","CAP_1608-0603","105.9890","30.6908","270","Capacitor SMD Cer 1uF 10% 16V X7R 0603"
"C4","CapC-0603-100nF","TopLayer","CAP_1608-0603","32.0206","39.3316","180","Capacitor (Semiconductor SIM Model)"
"C5","CapC-0603-100nF","TopLayer","CAP_1608-0603","13.9000","48.5000","90","Capacitor (Semiconductor SIM Model)"
"C6","CapC-0603-100nF","TopLayer","CAP_1608-0603","33.3000","46.1000","270","Capacitor (Semiconductor SIM Model)"
"C7","CapC-0603-100nF","TopLayer","CAP_1608-0603","19.8000","38.0000","180","Capacitor (Semiconductor SIM Model)"
"C8","CapC-0603-22pF","TopLayer","CAP_1608-0603","30.5000","59.5000","360","Capacitor (Semiconductor SIM Model)"
"C11","CapC-0603-100nF","TopLayer","CAP_1608-0603","13.2000","14.2000","90","Capacitor (Semiconductor SIM Model)"
