Altium Designer Pick and Place Locations
G:\Git\RUMBA-Plus\Source\Project Outputs for RUMBA_plus\Pick Place for RUMBA_plus.csv

========================================================================================================================
File Design Information:

Date:       27/05/19
Time:       19:48
Revision:   bb006bcb106649a55c00f01d6e579e41c7b4c984
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D9","","TopLayer","DO-214AC","53.8820","12.9238","360","DIODE GEN PURP 100V 1.5A SMA"
"C35","","TopLayer","CAPC2012X135N","40.6000","46.4000","270","CAP CER 4.7UF 10V X7R 0805"
"R59","","TopLayer","RES_1608-0603","85.2000","24.7000","270","RES SMD 4.7K OHM 1% 1/10W 0603"
"LD10","","TopLayer","LED_1608-0603","85.2000","28.4000","90","LED GREEN CLEAR CHIP SMD 0603"
"R57","","TopLayer","RES_1608-0603","86.8000","28.4000","270","RES SMD 10K OHM 1% 1/10W 0603"
"R56","","TopLayer","RES_1608-0603","86.8000","24.7000","90","RES SMD 140K OHM 1% 1/10W 0603"
"L4","","TopLayer","SRN6045TA_SMD_Inductor","89.3575","13.0000","90","FIXED IND 4.7UH 4.5A 26 MOHM SMD"
"D8","","TopLayer","DO-214AA","90.8000","18.4000","180","DIODE SCHOTTKY 40V 4A DO214AA"
"C33","","TopLayer","Cap_1608-0603","89.6000","21.6000","180","CAP CER 0.1UF 50V X7R 0603"
"C32","","TopLayer","CAP_EL_PANASONIC","89.6448","5.5702","90","CAP ALUM 100UF 20% 35V SMD"
"D6","","TopLayer","DO-214AC","100.1072","22.8962","270","DIODE GEN PURP 100V 1.5A SMA"
"R5","","TopLayer","RES_1608-0603","111.7484","28.6428","270","RES SMD 54.9K OHM 1% 1/10W 0603"
"D5","","TopLayer","DIOM2616X08N","106.6958","28.6538","180","DIODE SCHOTTKY 40V 2A SOD123F"
"C2","","TopLayer","CAPC2012X135N","109.8844","28.6428","270","CAP CER 4.7UF 10V X7R 0805"
"C1","","TopLayer","CAP_EL_PANASONIC","97.1992","32.0465","180","CAP ALUM 100UF 20% 35V SMD"
"F2","","TopLayer","FUSEHOLDER_-_BK-6013_-_MINI_ATC_ATO_BLADE_15A","104.3000","16.0040","180","FUSE HOLDER BLADE PCB"
"C10","","TopLayer","Cap_1608-0603","90.8005","32.9662","90","CAP CER 0.1UF 50V X7R 0603"
"C17","","TopLayer","CAP_3225-1210","95.6992","25.1962","90","CAP CER 4.7UF 50V X7R 1210"
"C34","","TopLayer","Cap_1608-0603","89.2765","32.9662","270","CAP CER 0.1UF 50V X7R 0603"
"R10","","TopLayer","RES_1608-0603","93.6000","21.6000","180","RES SMD 100K OHM 1% 1/10W 0603"
"R19","","TopLayer","RES_1608-0603","92.3245","32.9662","270","RES SMD 54.9K OHM 1% 1/10W 0603"
"R20","","TopLayer","RES_1608-0603","113.6484","28.6428","270","RES SMD 1K OHM 1% 1/10W 0603"
"U4","AOZ1284","TopLayer","SOIC127P600X170_HS-9N","90.8500","26.4000","90","IC REG BUCK ADJ 4A 8SO"
"D15","","TopLayer","DIOM2616X08N","115.8992","28.8962","270","DIODE SCHOTTKY 40V 2A SOD123F"
"C31","","TopLayer","CAP_EL_PANASONIC","113.7577","23.0454","90","CAP ALUM 100UF 20% 35V SMD"
"C36","","TopLayer","CAP_3225-1210","94.5645","13.7892","270","CAP CER 4.7UF 50V X7R 1210"
"L3","","TopLayer","SRN6045TA_SMD_Inductor","105.6860","23.0650","90","FIXED IND 33UH 1.8A 145 MOHM SMD"
"R6","","TopLayer","RES_1608-0603","111.7484","32.0978","90","RES SMD 10K OHM 1% 1/10W 0603"
"U3","","TopLayer","SOT23-6N","106.6360","32.0849","270","IC REG BUCK ADJ 1.2A SOT23-6"
"C18","","TopLayer","CAP_1608-0603","109.8840","32.0974","90","CAP CER 0.1UF 50V X7R 0603"
"LD8","","TopLayer","LED_1608-0603","113.6484","32.0978","90","LED GREEN CLEAR CHIP SMD 0603"
"C3","","TopLayer","CAP_3225-1210","102.5992","32.1724","270","CAP CER 4.7UF 50V X7R 1210"
"U2","ATMEGA16U2-MU","TopLayer","32M1-A_N","27.2480","13.8240","90","IC MCU 8BIT 16KB FLASH 32VQFN"
"U5","","TopLayer","SOT23-6","9.2000","14.1000","0","TVS DIODE 5.25V 17V SOT23-6"
"USB_AUX","Header 5","TopLayer","HDR1X5-HEADER","15.8000","12.0600","90","Header, 5-Pin"
"R58","","TopLayer","RES_1608-0603","38.8000","46.4000","90","RES SMD 1K OHM 1% 1/10W 0603"
"LD9","","TopLayer","LED_1608-0603","37.3000","46.4000","270","LED GREEN CLEAR CHIP SMD 0603"
"ISP1","Header 3X2","TopLayer","HDR2X3","39.8406","52.7062","270","Header, 3-Pin, Dual row"
"F3","","TopLayer","PTC_Fuse1608-0603","13.2000","6.8000","270","PTC RESET FUSE 9V 200MA 0603"
"D14","","TopLayer","DO-214AC","61.5000","13.0000","360","DIODE GEN PURP 100V 1.5A SMA"
"D13","","TopLayer","DO-214AC","125.2500","20.2540","360","DIODE GEN PURP 100V 1.5A SMA"
"D12","","TopLayer","DO-214AC","45.5000","13.0000","360","DIODE GEN PURP 100V 1.5A SMA"
"D11","","TopLayer","DO-214AC","79.0000","11.5000","360","DIODE GEN PURP 100V 1.5A SMA"
"D10","","TopLayer","DO-214AC","70.2500","11.5000","360","DIODE GEN PURP 100V 1.5A SMA"
"FAN1","","TopLayer","TERM2_3.5MM","78.8480","6.2052","180","TERM BLK 2POS SIDE ENT 3.5MM PCB"
"R55","","TopLayer","RES_1608-0603","79.2010","27.6428","90","RES SMD 1K OHM 1% 1/10W 0603"
"Q5","","TopLayer","LFPACK","78.9216","19.9334","180","MOSFET N-CH 40V 33A LFPAK"
"LD7","","TopLayer","LED_1608-0603","80.7790","27.6430","270","LED GREEN CLEAR CHIP SMD 0603"
"Z_MOT_A","Header 4","TopLayer","HDR1X4","81.7645","65.8952","180","Header, 4-Pin"
"Y_MOT_A","Header 4","TopLayer","HDR1X4","66.5400","65.8698","180","Header, 4-Pin"
"X_MOT_A","Header 4","TopLayer","HDR1X4","51.3156","65.8698","180","Header, 4-Pin"
