Altium Designer Pick and Place Locations
D:\Git\RUMBA-Plus\Source\Project Outputs for RUMBA_plus\Pick Place for RUMBA_plus.csv

========================================================================================================================
File Design Information:

Date:       07/01/18
Time:       23:02
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R59","Res-0603-4K7","TopLayer","RES_1608-0603","90.300","24.700","270","Resistor"
"LD10","GREEN","TopLayer","LED_1608-0603","90.300","28.350","90","Hyper-Bright LED"
"HB-PWR","Screw Terminal 5mm 2-Way","TopLayer","TERM2_5MM","117.083","6.078","360","Screw Terminal 5mm 2-Way"
"MAIN-PWR","Screw Terminal 5mm 2-Way","TopLayer","TERM2_5MM","107.101","6.078","360","Screw Terminal 5mm 2-Way"
"FAN1_1","Header 2","TopLayer","HDR1X2","84.104","14.488","180","Header, 2-Pin"
"FAN0_1","Header 2","TopLayer","HDR1X2","75.467","14.488","180","Header, 2-Pin"
"12V","Header 2","TopLayer","HDR1X2","40.818","27.643","90","Header, 2-Pin"
"C31","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","98.500","34.200","270","Polarized Capacitor (Surface Mount)"
"EXP3","Header 7X2","TopLayer","HDR2X7","29.642","27.643","180","Header, 7-Pin, Dual row"
"D7","100V; 1.5A","TopLayer","DO-214AC","136.707","15.900","270","Diode SMD 100V 1.5A SMA"
"D6","100V; 1.5A","TopLayer","DO-214AC","106.000","22.200","180","Diode SMD 100V 1.5A SMA"
"R49","Res-0603-100K","TopLayer","RES_1608-0603","65.735","27.643","270","Resistor"
"R48","Res-0603-22R","TopLayer","RES_1608-0603","64.084","27.643","270","Resistor"
"R47","Res-0603-100K","TopLayer","RES_1608-0603","82.702","27.643","270","Resistor"
"R46","Res-0603-22R","TopLayer","RES_1608-0603","81.229","27.643","270","Resistor"
"Q3","BUK9Y21-40E","TopLayer","LFPACK","66.854","19.933","180","Logic Level N MOSFET"
"Q4","BUK9Y21-40E","TopLayer","LFPACK","75.337","19.933","180","Logic Level N MOSFET"
"R45","Res-0603-10K","TopLayer","RES_1608-0603","133.752","46.585","360","Resistor"
"C30","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","133.522","58.810","360","Polarized Capacitor (Surface Mount)"
"ZD","Header, 8-Pin, Female","TopLayer","A4988BREAKOUT","132.141","53.286","270","Header, 8-Pin, Female"
"E2_MOT","ScrewTerminal-3.5mm-4Way","TopLayer","TERM4_3.5MM","132.493","71.244","360","Screw Terminal 3.5mm 4-Way"
"R32","Res-0603-100K","TopLayer","RES_1608-0603","127.300","36.200","270","Resistor"
"EXP2","Header 5X2","TopLayer","HDR2X5_EXP_INER_ONLY\","39.663","71.174","180","Header, 5-Pin, Dual row"
"R43","Res-0603-4K7","TopLayer","RES_1608-0603","12.526","35.974","360","Resistor"
"ZG","Header, 8-Pin, Female","TopLayer","A4988BREAKOUT","86.366","53.286","270","Header, 8-Pin, Female"
"Z_MOT","ScrewTerminal-3.5mm-4Way","TopLayer","TERM4_3.5MM","86.796","71.244","360","Screw Terminal 3.5mm 4-Way"
"X-","Header 3","TopLayer","HDR1X3","9.072","65.438","180","Header, 3-Pin"
"X+","Header 3","TopLayer","HDR1X3","9.072","62.898","180","Header, 3-Pin"
"Y_MOT","ScrewTerminal-3.5mm-4Way","TopLayer","TERM4_3.5MM","71.563","71.244","360","Screw Terminal 3.5mm 4-Way"
"Y-","Header 3","TopLayer","HDR1X3","9.072","60.358","180","Header, 3-Pin"
"Y+","Header 3","TopLayer","HDR1X3","9.072","57.818","180","Header, 3-Pin"
"Y2","16MHz","TopLayer","3525_SMD_CRYSTAL","30.000","3.000","360","Crystal Oscillator"
"Y1","16MHz","TopLayer","3525_SMD_CRYSTAL","30.700","59.100","360","Crystal Oscillator"
"X","Header, 8-Pin, Female","TopLayer","A4988BREAKOUT","55.849","53.286","270","Header, 8-Pin, Female"
"X_MOT","ScrewTerminal-3.5mm-4Way","TopLayer","TERM4_3.5MM","56.331","71.244","360","Screw Terminal 3.5mm 4-Way"
"Z-","Header 3","TopLayer","HDR1X3","9.072","55.278","180","Header, 3-Pin"
"Z+","Header 3","TopLayer","HDR1X3","9.072","52.738","180","Header, 3-Pin"
"TX","YELLOW","TopLayer","LED_1608-0603","40.652","14.131","180","Hyper-Bright LED"
"Thermistors","Header 5X2","TopLayer","HDR2X5","7.802","29.116","270","Header, 5-Pin, Dual row"
"RX","YELLOW","TopLayer","LED_1608-0603","40.652","12.411","180","Hyper-Bright LED"
"R42","Res-0603-4K7","TopLayer","RES_1608-0603","12.526","32.926","360","Resistor"
"R41","Res-0603-4K7","TopLayer","RES_1608-0603","12.526","29.878","360","Resistor"
"R40","Res-0603-4K7","TopLayer","RES_1608-0603","12.526","26.830","360","Resistor"
"R39","Res-0603-1K","TopLayer","RES_1608-0603","59.029","27.643","90","Resistor"
"R38","Res-0603-100K","TopLayer","RES_1608-0603","57.378","27.643","270","Resistor"
"R37","Res-0603-22R","TopLayer","RES_1608-0603","55.727","27.643","270","Resistor"
"R36","Res-0603-1K","TopLayer","RES_1608-0603","51.053","27.643","90","Resistor"
"R35","Res-0603-100K","TopLayer","RES_1608-0603","49.402","27.643","270","Resistor"
"R34","Res-0603-22R","TopLayer","RES_1608-0603","47.751","27.643","270","Resistor"
"R33","Res-0603-1K","TopLayer","RES_1608-0603","128.900","36.200","90","Resistor"
"R31","Res-0603-22R","TopLayer","RES_1608-0603","125.700","36.200","270","Resistor"
"R29","Res-0603-10K","TopLayer","RES_1608-0603","118.462","46.631","360","Resistor"
"R27","Res-0603-10K","TopLayer","RES_1608-0603","103.272","46.581","360","Resistor"
"R25","Res-0603-10K","TopLayer","RES_1608-0603","88.058","46.606","360","Resistor"
"R23","Res-0603-10K","TopLayer","RES_1608-0603","73.021","46.708","360","Resistor"
"R21","Res-0603-10K","TopLayer","RES_1608-0603","57.756","46.708","360","Resistor"
"R18","Res-0603-1K","TopLayer","RES_1608-0603","40.584","7.251","360","Resistor"
"R17","Res-0603-1K","TopLayer","RES_1608-0603","40.584","5.531","360","Resistor"
"R16","Res-0603-1K","TopLayer","RES_1608-0603","40.584","10.691","360","Resistor"
"R15","Res-0603-1K","TopLayer","RES_1608-0603","40.584","8.971","360","Resistor"
"R14","Res-0603-1K","TopLayer","RES_1608-0603","40.589","15.851","360","Resistor"
"R13","Res-0603-1K","TopLayer","RES_1608-0603","35.600","63.900","180","Resistor"
"R12","Res-0603-10K","TopLayer","RES_1608-0603","29.050","21.850","360","Resistor"
"R11","Res-0603-10K","TopLayer","RES_1608-0603","35.500","58.000","180","Resistor"
"R8","Res-0603-22R","TopLayer","RES_1608-0603","24.498","13.941","180","Resistor"
"R7","Res-0603-22R","TopLayer","RES_1608-0603","24.498","12.095","180","Resistor"
"R6","Res-0603-10K","TopLayer","RES_1608-0603","111.040","34.247","90","Resistor"
"R5","Res-0603-53.6K","TopLayer","RES_1608-0603","118.723","34.044","270","Resistor"
"R4","Res-0603-1K","TopLayer","RES_1608-0603","18.200","10.000","90","Resistor"
"R3","Res-0603-10K","TopLayer","RES_1608-0603","25.650","23.900","180","Resistor"
"R1","Res-0603-1M","TopLayer","RES_1608-0603","30.700","63.100","360","Resistor"
"Q2","BUK9Y21-40E","TopLayer","LFPACK","58.674","19.870","180","Logic Level N MOSFET"
"Q1","BUK9Y21-40E","TopLayer","LFPACK","50.269","19.933","180","Logic Level N MOSFET"
"Q6","PSMN1R8-40YLC","TopLayer","LFPACK","132.922","29.141","180","Logic Level N MOSFET"
"LD1","GREEN","TopLayer","LED_1608-0603","16.500","10.050","270","Hyper-Bright LED"
"LD4","GREEN","TopLayer","LED_1608-0603","60.700","27.643","270","Hyper-Bright LED"
"LD3","GREEN","TopLayer","LED_1608-0603","52.700","27.643","270","Hyper-Bright LED"
"LD2","GREEN","TopLayer","LED_1608-0603","130.500","36.200","270","Hyper-Bright LED"
"LED1","YELLOW","TopLayer","LED_1608-0603","35.600","65.500","180","Hyper-Bright LED"
"EXP1","Header 5X2","TopLayer","HDR2X5_EXP_INER_ONLY\","21.451","71.174","180","Header, 5-Pin, Dual row"
"L3","Inductor SMD 33uH 2.5A","TopLayer","SRN6045TA_SMD_Inductor","114.200","23.700","90","MagneticCore Inductor with Winding Polarity Marking"
"L1","Ferrite Bead SMD 0805","TopLayer","RES_2012-0805","13.300","10.000","360","MagneticCore Inductor with Winding Polarity Marking"
"U3","AOZ1282CI","TopLayer","SOT23-6N","114.140","34.031","270","Buck Regulator"
"U2","ATMEGA16U2-AU","TopLayer","TQFP32N","32.248","13.824","90","High Performance, Low Power USB2.0 AVR® 8-Bit Microcontroller"
"U1","ATMEGA2560","TopLayer","TQFP100N","28.510","47.817","180","The high-performance, low-power Atmel 8-bit AVR RISC-based microcontroller"
"E1","Header, 8-Pin, Female","TopLayer","A4988BREAKOUT","116.882","53.286","270","Header, 8-Pin, Female"
"E1_MOT","ScrewTerminal-3.5mm-4Way","TopLayer","TERM4_3.5MM","117.261","71.244","360","Screw Terminal 3.5mm 4-Way"
"E0","Header, 8-Pin, Female","TopLayer","A4988BREAKOUT","101.624","53.286","270","Header, 8-Pin, Female"
"E0_MOT","ScrewTerminal-3.5mm-4Way","TopLayer","TERM4_3.5MM","102.028","71.244","360","Screw Terminal 3.5mm 4-Way"
"HB-OUT","Screw Terminal 5mm 2-Way","TopLayer","TERM2_5MM","127.116","6.078","360","Screw Terminal 5mm 2-Way"
"D5","Diode Schottky 2A 40V","TopLayer","DIOM2616X08N","114.200","30.100","180","Default Diode"
"D3","DIODE_75V_500mW","TopLayer","SOD323","25.550","21.850","360","Diode SMD 300mA 0.5W SOD323"
"D2","DIODE_75V_500mW","TopLayer","SOD323","38.300","58.400","90","Diode SMD 300mA 0.5W SOD323"
"D1","100V; 1.5A","TopLayer","DO-214AC","106.000","26.100","360","Diode SMD 100V 1.5A SMA"
"C28","approved sub OK","TopLayer","Cap_1608-0603","12.526","31.402","360","Capacitor SMD Cer 1uF 10% 16V X7R 0603"
"C27","approved sub OK","TopLayer","Cap_1608-0603","12.526","28.354","360","Capacitor SMD Cer 1uF 10% 16V X7R 0603"
"C26","approved sub OK","TopLayer","Cap_1608-0603","12.526","25.306","360","Capacitor SMD Cer 1uF 10% 16V X7R 0603"
"C25","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","118.208","58.810","360","Polarized Capacitor (Surface Mount)"
"C24","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","102.968","58.810","360","Polarized Capacitor (Surface Mount)"
"C23","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","87.756","58.810","360","Polarized Capacitor (Surface Mount)"
"C22","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","72.565","58.810","360","Polarized Capacitor (Surface Mount)"
"C21","CapE-6.3-100uF-35V","TopLayer","CAP_EL_PANASONIC","57.274","58.810","360","Polarized Capacitor (Surface Mount)"
