Altium Designer Pick and Place Locations
G:\Git\RUMBA-Plus\Source\Project Outputs for RUMBA_plus\Pick Place for RUMBA_plus.csv

========================================================================================================================
File Design Information:

Date:       03/04/18
Time:       21:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"HE1","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","53.626","6.129","180","Screw Terminal 3.5mm 2-Way"
"HE0","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","45.244","6.205","180","Screw Terminal 3.5mm 2-Way"
"U5","USBLC6-4SC6","TopLayer","SOT23-6N","9.213","14.100","0","ESD Protection IC"
"R58","Res-0603-1K","TopLayer","RES_1608-0603","38.800","46.400","90","Resistor"
"R20","Res-0603-1K","TopLayer","RES_1608-0603","113.700","30.600","90","Resistor"
"LD9","GREEN","TopLayer","LED_1608-0603","37.300","46.400","270","Hyper-Bright LED"
"LD8","GREEN","TopLayer","LED_1608-0603","112.188","30.663","270","Hyper-Bright LED"
"D14","100V; 1.5A","TopLayer","DO-214AC","61.500","13.000","360","Diode SMD 100V 1.5A SMA"
"D13","100V; 1.5A","TopLayer","DO-214AC","125.250","19.254","360","Diode SMD 100V 1.5A SMA"
"D12","100V; 1.5A","TopLayer","DO-214AC","45.500","13.000","360","Diode SMD 100V 1.5A SMA"
"D11","100V; 1.5A","TopLayer","DO-214AC","79.000","11.500","360","Diode SMD 100V 1.5A SMA"
"D10","100V; 1.5A","TopLayer","DO-214AC","70.250","11.500","360","Diode SMD 100V 1.5A SMA"
"D9","100V; 1.5A","TopLayer","DO-214AC","53.750","13.000","360","Diode SMD 100V 1.5A SMA"
"FAN1","Screw Terminal 3.5mm 2-Way","TopLayer","TERM2_3.5MM","78.848","6.205","180","Screw Terminal 3.5mm 2-Way"
"R55","Res-0603-1K","TopLayer","RES_1608-0603","79.201","27.643","90","Resistor"
"Q5","BUK9Y21-40E","TopLayer","LFPACK","78.922","19.933","180","Logic Level N MOSFET"
"LD7","GREEN","TopLayer","LED_1608-0603","80.779","27.643","270","Hyper-Bright LED"
"R54","Res-0603-4K7","TopLayer","RES_1608-0603","7.526","26.904","360","Resistor"
"R53","Res-0603-1K","TopLayer","RES_1608-0603","71.352","27.643","90","Resistor"
